,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman,y_to_c_ratio_in_yhat
21,0.732,0.029840398173595628,0.0031215451738567657,0.0013747650883804141,50,,0,0,1000,954051228,0.6948128300485393,0.6948128300485399,0.0
22,0.776,0.02096837451739675,0.009463993338534538,0.001777875091148684,50,,0,0,1000,1156649634,0.8347312700657532,0.8347312700657556,0.0
23,0.672,0.006443875237954755,0.005652123517151275,0.005069883021186827,50,,0,0,1000,1632697641,0.5356657197967165,0.5356657197967176,0.0
24,0.658,0.10031898461869515,0.0013909553625485183,0.003961954075126006,50,,0,0,1000,1572200133,0.6695189247694681,0.6695189247694681,0.0
25,0.216,0.004738798753085138,0.014103362412490772,0.032405895744974655,50,,0,0,1000,1235406039,0.16212168289266984,0.16212168289267068,0.0
26,0.843,0.06383251202891382,0.033996217428274966,2.8192431403506468e-05,50,,0,0,1000,1407710297,0.6780027743906205,0.6780027743906197,0.0
27,0.329,0.009935967281749947,0.007030693982471581,0.013466777917369388,50,,0,0,1000,1099262776,0.3099863064842806,0.3099863064842813,0.0
28,0.563,0.02089337684624548,0.013278390553898012,0.008164888417456106,50,,0,0,1000,92382466,0.5671588259310465,0.5671588259310474,0.0
29,0.798,0.00311014809900767,0.003110148099007226,0.0008253482912112808,50,,0,0,1000,1411240924,0.8397340551689829,0.8397340551689838,0.0
30,0.197,0.004629007386572015,6.900767447026723e-06,0.02924308358132477,50,,0,0,1000,1772108105,0.16491917196991307,0.16491917196991096,0.0
31,0.528,2.7470931848516678e-05,0.005652123517151275,0.006887872154300312,50,,0,0,1000,2033087279,0.5086910352670717,0.5086910352670702,0.0
32,0.261,0.0008254440289936493,0.011774688799906619,0.027651411410076876,50,,0,0,1000,954521694,0.16632157466281372,0.16632157466281255,0.0
33,0.022,0.003667632993594183,0.003667632993593295,0.09361293657428038,50,,0,0,1000,1965599707,0.0129598691135806,0.012959869113580479,0.0
34,0.554,0.01933709759471114,0.012845176972674621,0.010689532408294289,50,,0,0,1000,121509168,0.315445140101371,0.31544514010137154,0.0
35,0.949,6.269415917770083e-05,0.018823158596708245,0.0011671000946535948,50,,0,0,1000,1546692160,0.7731794528472663,0.7731794528472642,0.0
36,0.921,0.011774659205350146,0.0008286528271271854,0.0008254440289936493,50,,0,0,1000,1779326814,0.7930775011649263,0.7930775011649265,0.0
37,0.557,0.03929267881386955,0.013466784141615395,0.010043450079540883,50,,0,0,1000,263613230,0.5477766473206813,0.5477766473206822,0.0
38,0.303,0.00973591237434912,0.010741748248464855,0.012761019175828503,50,,0,0,1000,575081790,0.41753515189553314,0.4175351518955338,0.0
39,0.966,0.0020898599486842695,0.023546943714808366,0.000551498977781173,50,,0,0,1000,1952795859,0.7959137087442189,0.7959137087442186,0.0
40,0.889,0.030549268239227545,0.0019252218536084387,0.00024685357291354126,50,,0,0,1000,1317866667,0.9528072087722907,0.9528072087722905,0.0
41,0.664,6.522298753752764e-06,0.0012542665419543741,0.004311847800204993,50,,0,0,1000,1531761554,0.5987800261288412,0.59878002612884,0.0
42,0.615,0.050320079214061564,2.809497631561797e-05,0.004093343333585131,50,,0,0,1000,673934066,0.589220334516803,0.5892203345168062,0.0
43,0.546,6.422265627681334e-05,0.047087940381120075,0.008368221033130507,50,,0,0,1000,758712243,0.45928869417635343,0.45928869417635465,0.0
44,0.559,0.04157645042724667,0.0043118477978921765,0.00872693231866506,50,,0,0,1000,916824962,0.5222815239948673,0.5222815239948669,0.0
45,0.321,0.01756910957808966,0.01327839472884973,0.017962937932100353,50,,0,0,1000,475381739,0.20990119378741776,0.20990119378741778,0.0
46,0.249,0.00975574949762914,0.0009093349070690149,0.028698036975634,50,,0,0,1000,2017410956,0.1770034216492108,0.1770034216492101,0.0
47,0.09,0.004629007386572015,0.010741748248464189,0.04202864413964991,50,,0,0,1000,1962968207,0.07989695260585038,0.07989695260585049,0.0
48,0.689,0.02354695382745864,0.02632325582697692,0.0021117223684744557,50,,0,0,1000,1516260517,0.5348941445268356,0.5348941445268371,0.0
49,0.046,0.029840398173524685,0.010689532408305613,0.057316810744434066,50,,0,0,1000,1751674605,0.02832273231967392,0.028322732319673756,0.0
50,0.017,0.017880725796748043,0.010178050077581213,0.0824836247174221,50,,0,0,1000,275394254,0.011998458325720026,0.011998458325720026,0.0
51,0.406,0.04207722084430543,0.02138836372487829,0.013590545188805536,50,,0,0,1000,730817417,0.4895432862042369,0.48954328620423737,0.0
52,0.147,2.8094976315395925e-05,0.010689532408294511,0.04207721643015838,50,,0,0,1000,1547586068,0.09278466738912941,0.09278466738912898,0.0
53,0.896,7.060371056133441e-06,0.0050648432696343,0.0008254440289936493,50,,0,0,1000,2067636100,0.8183695534531651,0.8183695534531659,0.0
54,0.389,0.0034249437524705995,0.008348667528407239,0.01616797061742603,50,,0,0,1000,632632655,0.28451698432619593,0.2845169843261956,0.0
55,0.786,0.0010684945196809403,2.220446049250313e-16,0.004634357655736054,50,,0,0,1000,1468421546,0.5841961189166376,0.5841961189166379,0.0
56,0.108,0.0011544640047956856,0.03040425827315385,0.029840398173801463,50,,0,0,1000,1005374725,0.13727066462859003,0.1372706646285898,0.0
57,0.97,0.0007714474850495368,0.0007714474850499808,0.0010684945199590512,50,,0,0,1000,78165742,0.7984472920787015,0.7984472920786996,0.0
58,0.793,0.017429327091896485,0.0035098492545547755,0.0008253482912110588,50,,0,0,1000,1080121834,0.8729697103865808,0.8729697103865791,0.0
59,0.997,2.220446049250313e-16,7.060371055356285e-06,0.0011619102115970614,50,,0,0,1000,826541444,0.7842687041823861,0.784268704182387,0.0
60,0.028,6.349568896080182e-05,0.00026194707645765813,0.06566998918872369,50,,0,0,1000,215117809,0.03766677561953158,0.03766677561953158,0.0
61,0.919,0.04207722084430543,0.02937885993769518,6.9040863091007765e-06,50,,0,0,1000,305128647,0.7122106451442378,0.7122106451442354,0.0
62,0.447,0.09820445707728598,0.0010684945199594953,0.009735912374354228,50,,0,0,1000,631354571,0.46070699721875663,0.46070699721875574,0.0
63,0.999,0.004629007386572015,0.010741838293150008,2.220446049250313e-16,50,,0,0,1000,760648162,0.9464115500011574,0.9464115500011594,0.0
64,0.044,0.000916550077871503,2.7470931847406455e-05,0.06937960565815349,50,,0,0,1000,553576721,0.03168330258234685,0.03168330258234654,0.0
65,0.264,0.001286381483037058,0.006968765330956028,0.018576478156782872,50,,0,0,1000,2078160693,0.28169354694527404,0.28169354694527327,0.0
66,0.01,0.00789322074718457,0.024756239389373658,0.09093854310195981,50,,0,0,1000,2019846921,0.00858935320513441,0.008589353205134324,0.0
67,0.379,0.02821088901053015,0.0021117223684743447,0.01344241590951789,50,,0,0,1000,1279013547,0.3209198787630245,0.3209198787630252,0.0
68,0.04,0.01796286260167379,0.0036890761061920685,0.06055596708895228,50,,0,0,1000,1134490754,0.03442344377538716,0.034423443775387114,0.0
69,0.518,0.05618466780687936,0.00396195407512534,0.010043450079535998,50,,0,0,1000,849951427,0.33053464540131894,0.3305346454013184,0.0
70,0.009,0.03040425827315385,0.01256246489887436,0.09864261657518492,50,,0,0,1000,1243751187,0.017477344522937425,0.017477344522937515,0.0
71,0.885,0.010689532408294733,0.02984039817360451,0.0011544640047811416,50,,0,0,1000,394876318,0.9141265233667208,0.9141265233667171,0.0
72,0.248,0.00703069398247147,0.07988569864289874,0.026719937739618227,50,,0,0,1000,1285457632,0.24665354675115778,0.24665354675115828,0.0
73,0.039,0.005064843272779784,6.5222987530866305e-06,0.06128830850506839,50,,0,0,1000,595765758,0.043610896973950854,0.043610896973951235,0.0
74,0.572,0.003804624244827748,0.006180638624451507,0.010178050077582657,50,,0,0,1000,1201503691,0.387691104738047,0.387691104738047,0.0
75,0.354,0.014987103075991492,0.01498710307599127,0.011774659205350146,50,,0,0,1000,1542418348,0.30031435119883093,0.30031435119882965,0.0
76,0.513,0.012984130273508088,0.07474496449999901,0.010043450079438854,50,,0,0,1000,244592230,0.589795448436661,0.589795448436661,0.0
77,0.097,0.0015813524287454639,0.0179634250318097,0.043708346390656905,50,,0,0,1000,1969263265,0.09660062643456929,0.09660062643456897,0.0
78,0.308,0.02924308358035488,0.008726936123724549,0.010689532408305946,50,,0,0,1000,1096437208,0.48390227032327215,0.4839022703232747,0.0
79,0.762,0.003667632993593295,0.003667632993593517,0.0015816482997025316,50,,0,0,1000,908217484,0.7225884995654175,0.7225884995654144,0.0
80,0.528,0.04371193737090273,0.01074265980230138,0.0050648432727805615,50,,0,0,1000,152089541,0.42062441213763657,0.42062441213763413,0.0
81,0.054,0.010480373595274095,0.005991697663630724,0.0426030317486179,50,,0,0,1000,394114712,0.0763598739227462,0.07635987392274611,0.0
82,0.68,0.03135371580351054,0.01802599523481463,0.0036890953830670536,50,,0,0,1000,941097907,0.4632082293853632,0.4632082293853623,0.0
83,0.78,0.0011848371952916104,0.031111058874420006,6.661338147750939e-16,50,,0,0,1000,1075348184,0.955434874252691,0.9554348742526907,0.0
84,0.165,0.0179634250319074,0.009485437932272522,0.0194943479241918,50,,0,0,1000,501147184,0.20225379507683997,0.20225379507684,0.0
85,0.85,0.00019710938548722634,0.005143275943183756,0.00022703896955933445,50,,0,0,1000,1768542267,0.913882239618257,0.9138822396182569,0.0
86,0.423,0.016128234064904046,0.07863669414701924,0.019021091354012865,50,,0,0,1000,613563948,0.40877630492186023,0.408776304921861,0.0
87,0.986,0.0005494907557033191,0.0015816482997027537,0.0005494907557033191,50,,0,0,1000,780420734,0.8433225192987568,0.8433225192987555,0.0
88,0.994,0.01017805007758299,6.900767448692058e-06,6.690536373810119e-06,50,,0,0,1000,1530635368,0.9844832640316805,0.9844832640316801,0.0
89,0.2,0.031063074009013203,0.000491590786651841,0.02812248300683251,50,,0,0,1000,1049747644,0.15423912284991118,0.15423912284991118,0.0
90,0.349,0.007090999541429888,0.005143134851721243,0.01612823408014563,50,,0,0,1000,2133868785,0.2795434246772091,0.2795434246772088,0.0
91,0.891,0.00019772895753711328,0.019337097594711028,0.0013795236082803086,50,,0,0,1000,1227640767,0.7554265971569736,0.7554265971569734,0.0
92,0.279,0.01346677764324622,0.0036890953830670536,0.024861942900281098,50,,0,0,1000,1400720309,0.2282818115682441,0.2282818115682458,0.0
93,0.9,-4.580771317819199e-10,0.030404279220824004,2.8192431403395446e-05,50,,0,0,1000,1875327350,0.9639589556471182,0.9639589556471181,0.0
94,0.873,0.024337791988895074,0.028122483006546184,0.0007936108618420423,50,,0,0,1000,998633014,0.9835336746150845,0.9835336746150849,0.0
95,0.033,0.00975574949762914,0.0002622928388041901,0.07421606227779909,50,,0,0,1000,1495616662,0.023838133296901372,0.02383813329690144,0.0
96,0.049,-1.8465613482732124e-09,0.00127135161899683,0.05843069400923129,50,,0,0,1000,2077593581,0.05209142865251847,0.052091428652518486,0.0
97,0.911,0.12029078938415938,0.0017876857398428925,0.0008059397680860725,50,,0,0,1000,1777051770,0.9198028375018056,0.9198028375018048,0.0
98,0.48,0.006180638371758529,0.011057532753011357,0.00463435765583331,50,,0,0,1000,1966510930,0.5269116967307934,0.5269116967307936,0.0
99,0.742,0.025359885072382182,0.07329906475882719,0.0035088843694901506,50,,0,0,1000,504192306,0.35191105143149437,0.35191105143149304,0.0
100,0.804,0.003321032020720094,0.003179148172318569,0.0005659659729314592,100,,0,0,1000,1604458567,0.7512849167722818,0.7512849167722867,0.0
101,0.333,0.005433498392325653,0.004016351367203352,0.005099434719328055,100,,0,0,1000,774880851,0.44308065589033774,0.4430806558903393,0.0
102,0.674,0.0011544640047951304,0.0002887570835357067,0.0025994543450958973,100,,0,0,1000,227552889,0.5494780541318104,0.5494780541318103,0.0
103,0.904,6.767250800843172e-06,0.00010358640009622277,0.00018631957591552784,100,,0,0,1000,16906905,0.8740635452126444,0.8740635452126418,0.0
104,0.833,0.02432800869168039,-1.8465613482732124e-09,0.0010266625365213944,100,,0,0,1000,55384970,0.7083108447771771,0.7083108447771778,0.0
105,0.992,0.002829138798499886,9.238675364731108e-07,0.00023129555488599074,100,,0,0,1000,2132110259,0.8505256253863276,0.8505256253863296,0.0
106,0.255,0.00029147396666751035,0.026263775389105404,0.010480373595289971,100,,0,0,1000,216666703,0.2417149991760367,0.24171499917603478,0.0
107,0.293,0.003327233194717616,0.006089799607843838,0.009127697824069525,100,,0,0,1000,296224385,0.2975730928953872,0.297573092895389,0.0
108,0.86,0.0076394552557553785,0.007359200576614766,0.0010927935500889552,100,,0,0,1000,1619298557,0.777065971364332,0.7770659713643334,0.0
109,0.227,0.03738389452127466,0.01891433274356069,0.014018530261335704,100,,0,0,1000,1541312302,0.29410974255933386,0.29410974255933564,0.0
110,0.053,0.006711114976846511,0.006986311969580328,0.024780036020677687,100,,0,0,1000,62559325,0.08140111135651684,0.08140111135651594,0.0
111,0.97,0.004296880834102845,0.005047262580282874,1.7162709633478102e-06,100,,0,0,1000,1681594616,0.9618421265533973,0.9618421265533934,0.0
112,0.638,0.004833303561260993,0.007270764521970063,0.0019208639371874892,100,,0,0,1000,358777621,0.5567806930309002,0.5567806930308994,0.0
113,0.257,0.0010530311288331484,0.006685004524892069,0.010134488723422708,100,,0,0,1000,1754616452,0.22637371869269665,0.2263737186926972,0.0
114,0.3,0.00028523492102427994,0.0105289648716691,0.008644292419765276,100,,0,0,1000,46788485,0.2690693587999229,0.2690693587999234,0.0
115,0.222,0.018668208296933275,0.007514340853259416,0.0072284617316642485,100,,0,0,1000,510160670,0.4017621937674085,0.40176219376740696,0.0
116,0.594,0.004311847800204993,0.007359200576614322,0.0024894671734533302,100,,0,0,1000,454673985,0.510458809278665,0.5104588092786657,0.0
117,0.102,0.00013279345338823578,8.346157835548151e-05,0.0224315674575849,100,,0,0,1000,636524282,0.08311550975669778,0.08311550975669789,0.0
118,0.843,0.0009614130307058488,0.001662422292281085,0.00036754429211638406,100,,0,0,1000,291875639,0.8376449467678004,0.837644946767802,0.0
119,0.702,0.029664927156802356,0.004311847800204993,0.0009859591824542546,100,,0,0,1000,1384953418,0.5970020113180836,0.5970020113180806,0.0
120,0.66,0.011485069528632263,0.008170667103897578,0.0013042664970320805,100,,0,0,1000,470824762,0.7697123115341831,0.7697123115341823,0.0
121,0.505,0.007044472867744234,0.0021195101237146963,0.0029620360428610493,100,,0,0,1000,528486959,0.5611021709456364,0.5611021709456381,0.0
122,0.111,0.03661949599130798,0.014668348273678355,0.0239164494045494,100,,0,0,1000,185433238,0.12647158593575772,0.12647158593576033,0.0
