,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
73,0.475,0.011605728304275975,0.011605728304275975,0.08062899137080709,50,0,0,0,1000,595765758
74,0.166,0.04435727522985733,0.04435727522985733,0.005061294019263611,50,0,0,0,1000,1201503691
75,0.704,0.0027356925460541026,0.0027356925460541026,0.019599919409511356,50,0,0,0,1000,1542418348
76,0.811,0.0012186795624471447,0.0012186795624471447,1.1097865437349184e-05,50,0,0,0,1000,244592230
77,0.255,0.024943543693292436,0.024943543693292436,0.03667865331262998,50,0,0,0,1000,1969263265
78,0.845,0.0009317968947883948,0.0009317968947883948,0.0009689473575254299,50,0,0,0,1000,1096437208
79,0.886,0.0004342013239863052,0.0004342013239863052,0.00804897201791332,50,0,0,0,1000,908217484
80,0.307,0.021924909723562647,0.021924909723562647,0.005657488519670957,50,0,0,0,1000,152089541
81,0.887,0.0005717927561336156,0.0005717927561336156,0.0002582727478995334,50,0,0,0,1000,394114712
82,0.855,0.0005926911878064711,0.0005926911878064711,0.004034960355520451,50,0,0,0,1000,941097907
83,0.593,0.006347600464395309,0.006347600464395309,0.028687267812073373,50,0,0,0,1000,1075348184
84,0.494,0.009879163549478709,0.009879163549478709,0.004376401930858268,50,0,0,0,1000,501147184
85,0.704,0.0026731970666296068,0.0026731970666296068,0.0002104713806006758,50,0,0,0,1000,1768542267
86,0.438,0.013912801400276287,0.013912801400276287,0.0008226509636575458,50,0,0,0,1000,613563948
87,0.037,0.07803851702205045,0.07803851702205045,0.0007390567263071588,50,0,0,0,1000,780420734
88,0.746,0.0019003863039115387,0.0019003863039115387,0.0057435761873923874,50,0,0,0,1000,1530635368
89,0.777,0.0018186878635551018,0.0018186878635551018,0.0032349874142902114,50,0,0,0,1000,1049747644
90,0.051,0.08402453265292409,0.08402453265292409,0.005819565140091001,50,0,0,0,1000,2133868785
91,0.254,0.026446478522022754,0.026446478522022754,0.05765600445559846,50,0,0,0,1000,1227640767
